"1","a bag of tricks","metode untuk mencapai suatu tujuan.","I wonder what the Republicans will pull out of their bag of tricks to win the election this time.","Aku ingin tahu apakah Partai Republik akan memiliki metode untuk memenangkan pemilu kali ini"
"32","give someone a hand","membantu seseorang","`I can't do this alone. Can you give me a hand?`","`Aku tidak bisa melakukan ini sendiri. Bisakah kau membantuku?`"
"33","hang in there ","bertahan","Giving up cigarettes is really hard, but it gets easier as each day passes, so hang in there and you'll soon feel better.","Berhenti merokok benar-benar sulit, tapi itu akan lebih mudah karena setiap hari berlalu, jadi bertahanlah dan kau akan merasa lebih baik."
"34","hit the books","belajar","`If you want good scores please hit the books!`","`Kalau kau ingin nilai yang bagus, belajarlah!`"
"35","hit the ceiling","bereaksi sangat marah","When Carol's son got an F on his report card, she hit the ceiling!","Ketika Carol mengetahui anaknya gagal dalam satu mata pelajaran,  dia sangat marah. "
"36","in general","biasanya","In general, men get married at their thirties.","Biasanya, pria menikah pada usia 30an."
"37","in vain","gagal, tidak sukses","The police are in vain searching for the kidnappers.","Polisi gagal menangkap penculiknya."
"38","just about","hampir saja",,
"39","keep an eye on","mengawasi, mengamati","The bodyguard is keeping an eye on his boss from the corner of the room.","Bodyguard sedang mengawasi bosnya dari sudut ruangan."
"40","keep dark","merahasiakan",,
"41","keep house","membereskan rumah","It is usually my mom who keeps the house during holiday.","Biasanya ibuku yang menjaga rumah selama liburan."
"42","keep in touch","berkomunikasi","Radiomen keep in touch with people on land by sending and receiving messages.","Awak radio terus berkomunikasi dengan orang yang didaratan melalui kirim dan terima pesan."
"43","keep it dark","merahasiakan","Hawa hopes her friend can keep a dark the embarrassing incident happened to her.","Hawa berharap temannya merahasiakan kejadian memalukan yang dialaminya."
"44","keep it up","lanjutkan, teruskan","You are getting good grades at school, just keep it up and you will be accepted at the famous university.","Kamu akan mendapatka nilai-nilai bagus di sekolah. Teruskan saja dan kamu akan bisa diterima di universitas terkenal itu."
"45","keep off","menghindari","It's essential to keep off the high GI food.","Penting untuk menghindari makanan tinggi GI"
"46","keep one's chin up","tetap berani dan percaya diri dalam situasi yang sulit, jangan putus asa atau khawatir terlalu banyak.","I know that things have been difficult for you recently, but keep your chin up. Everything will be better soon.",
"47","keep one's temper","menahan emosi","Fitri has a difficulty to keep her temper when someone makes fun her.","Fitri kesulitan menahan emosinya ketika seseorang mengejeknya."
"48","kind of","agak, mirip"," I am sure he will fail the exam, he is kind of lazy.",
"49","knock someone's socks off","sangat mengagumkan","`You should see Tom's new car! It'll knock your socks off, it's so amazing!`","`Kau harus lihat mobil baru Tom. Pasti akan membuatmu takjub. Sangat mengagumkan!`"
"50","leave well enough alone ","tidak harus memperbaiki sesuatu karena hal itu sudah bagus","The kids seem happy enough now so let's just leave well enough alone and forget about finding a new school for them.","Anak-anak tampaknya cukup senang sekarang jadi mari kita tinggalkan begitu saja dan melupakan mencari sekolah baru bagi mereka."
"51","low blow","kecewa berat","He's OK, but not good. It was a low blow for him to be laid off from his job.",
"52","make a mountain out of a molehill","melebih-lebihkan sebuah masalah","`Calm down. There's really nothing to worry about. You're making a mountain out of a molehill.`",
"53","not on your life!","sama sekali tidak!","Some one said you cheated on the test. `Did you?` `Not on your life!`",
"54","old fashion","kuno (fashion)","Jennifer's clothes are so Old fashioned    that is looked like she is wearing her grandmother's clothes.","Pakaian Jennifer begitu kuno sehingga dia terlihat seperti memakai pakaian neneknya."
"55","on purpose","sengaja",,
"56","out of sorts","tidak sehat","I guess I'm out of sorts, I will not attend today's class.",
"57","over my head","terlalu sulit atau rumit untuk dimengerti","This explanation of problem is overmy head. Can you explain it in a more simple way?",
"58","pay a visit to","mengunjungi","If I'm not mistaken, it's been months you haven't pay a visit to your grandmother.",
"59","pay the piper","tanggung akibat dari perbuatan sendiri","I stayed up too late tonight. Tomorrow I'll have to pay the piper.",
"60","put off","menunda",,
"61","quite a few","beberapa","Quite a few English school students learn a second language well.",
"62","rain or shine","sebuah kegiatan yang sudah direncanakan tetap akan dilaksanakan sekalipun hujan atau panas.","We are leaving tomorrow, rain or shine.",
"63","scrape a living","beban hidup yang berat","We should be grateful that we don't have to scrape a living as what we seen on the TV just now.",
"64","sit up","begadang, bangun sampai larut malam","As a student, I often sat up to do my homework.",
"65","someone's name is mud","nama baik tercemar","Ian's name is mud now because everyone thinks he was the one who stole the money.","Nama Ian tercemar karena semua orang berpikir bahwa dia yang mencuri uang itu."
"66","something escapes you","sesuatu yang terlupakan","`I'm really sorry, but your name escapes me at the moment. Could you tell me again please?`","`Maafkan aku, tapi aku lupa namamu. Bisakah kau sebutkan lagi?`"
"67","sooner or later","cepat atau lambat","Bad people will meet their misfortune sooner or later.",
"68","sounds fine","baik-baik saja","Your suggestion sounds fine to me.",
"69","stands to reason","sesuatu yang bisa dipastikan","If you eat good food and get plenty of exercise it stands to reason that you'll have a good chance of living to a ripe old age.","Jika Anda makan makanan yang baik dan olahraga maka pasti Anda akan memiliki kesempatan yang baik hidup di usia lanjut."
"70","to the full","sebaik-baiknya","`I am enjoying my life to the full!`",
"71","turn on","menyalakan",,
"72","when pigs fly","sungguh tidak mungkin","`Yeah, when pigs fly! There is no way she is giving up her career!`","`Sungguh tidak mungkin Mary akan berhenti dari pekerjaannya.`"
"73","agree to differ/agree to disagree","menerima bahwa adanya perbedaan pendapat dengan orang lain dan tidak berusaha mengubah pendapat masig-masing","We're never going to think the same way about politics, so let's just agree to differ and leave it at that","Kita tidak pernah sependapat tentang politik, jadi terimalah bahwa kita berbeda dan jangan ubah itu."
"74","get a look in","mendapatkan sebuah kesempatan yang dirasa adil","When Roger was playing at his best, no-one else taking part in a tournament would get a look in. He'd win every time","Saat Roger bermain maksimal, tidak ada peserta lain yang bisa menyainginya (mendapatkan kesempatan untuk menang). Dia pasti menang."
"75","I owe you one!","aku hutang budi padamu","`Thanks for helping me out, Bob. I owe you one!`","`Terima kasih atas bantuanmu, Bob. Aku hutang budi padamu!`"
"76","keep a low profile","tidak berusaha menarik perhatian","After all the bad publicity over the problems in his private life, the team's captain kept a low profile for a few months","Setelah semua publitas buruk tentang masalah kehidupannya, Kapten Tim tetap low profile (berusaha untuk tidak melebih-lebihkan)."
"77","the x-factor","faktor x (faktor tertentu yang mampu menarik perhatian orang lain)","You can't teach anyone the x-factor because they've either got it or they haven't","Kau tidak bisa mengajarkan seseorang `the x-factor`, karena jika mereka tidak punya, maka tidak akan pernah ada the x-factor."
"78","full of yourself","sombong atas diri sendiri","`That guy was so full of himself! He couldn't stop talking about himself and all the wonderful things he's done.`","`Pria ini begitu sombong akan dirinya! Dia tidak berhenti berbicara tentang dirinya sendiri dan hal-hal hebat yang pernah dia lakukan.`"
"79","hold your own","bertahan sendiri tanpa bantuan","Kelly's a great tennis player and she can hold her own against anyone in her class, including the boys.","Kelly adalah pemain tenis yang hebat dan dia bisa bertahan sendiri ketika melawan teman-teman sekelasnya, termasuk para cowok."
"80","just the ticket","sesuatu yang pas","`That's just the ticket! Edna loves brooches, especially if they have bird designs, so she'll absolutely love this one.`","`Ini pas sekali! Edna menyukai bros, terutama yang bergambar burung. Dia pasti suka yang ini.`"
"81","nothing to write home about","biasa saja, tidak menarik","We saw a movie today and it was nothing to write home about. It was just a typical action movie.","Kami barusan nonton film, tapi filmnya tidak menarik. Hanya film action biasa."
"82","the back of beyond | the back of the beyond","sangat jauh dari kota","Ivan went to visit his cousins in a tiny village in the back of the beyond. It took him a long time to get there.","Ivan pergi mengunjungi sepupunya di sebuah desa kecil yang sangat jauh dari kota. Butuh waktu lama untuk kesana."
"83","the last straw","penderitaan terakhir (sesuatu yang membuatmu tidak senang, tapi kau lega karena itu adalah hal penderitaan terakhir bagimu","I was already close to resigning, but the last straw was being bossed around by some kid twenty years younger than me. After that, I quit the job.","Pengunduran diriku sebentar lagi, tapi ini penderitaan terakhir menjadi bawahan anak-anak muda yang jauh lebih muda dariku. Setelah itu aku keluar dari pekerjaan ini."
"84","the real McCoy","asli, bukan bajakan","`You only paid $50 for a Gucci handbag? Well it's obviously not the real McCoy then, is it.`","`Kau membayar 50 dollar hanya untuk sebuah tas Gucci? ` `Ya jelaslah, karena ini asli.`"
"85","tie the knot","menikah","Mary really wants to tie the knot, but Sam says he's not ready for marriage just yet.","Mary sangat ingin menikah, tapi Sam bilang bahwa dia belum siap"
"86","worth your while","manfaat yang ditimbulkan dari suatu pekerjaan yang kamu lakukan lebih besar dari pada pengorbanan waktu atau usaha yang kamu keluarkan untuk perkerjaan tersebut","It's not worth my while doing this job. It takes me two hours to get there and two hours to get home, and it doesn't even pay very well.","Tidak ada bayaran yang tepat dari pekerjaan ini. Butuh waktu 2 jam kesana dan 2 jam pulang kerumah, dan aku tidak dibayar sama sekali"
"87","something occurs you","ada sesuatu yang menjadi pikiran bagimu","I was surprised when I heard that Anne had quit. It had never occurred to me that she wasn't happy working here.","Aku terkejut ketika mendengar bahwa Anne telah berhenti. Tak pernah terpikir olehku bahwa dia tidak senang bekerja di sini."
"88","a chip off the old block","mirip dengan ayah atau ibu, biasanya cenderung ke ayah","Everyone says I'm a chip off the old block, but I think I'm very different to my dad.","Semua orang bilang aku mirip dengan ayahku, tapi aku rasa aku jauh berbeda dengan ayahku"
"89","a means to an end","cara untuk mencapai tujuan","Rupert plays golf, but he doesn't really enjoy it. It's just a means to an end for him because so much business is done on the golf course these days.","Rupert bermain golf, tapi dia tidak benar-benar menikmatinya. Ini hanya cara lain untuk mencapai tujuan pribadinya karena begitu banyak bisnis dilakukan di lapangan golf hari ini."
"90","a question mark over someone|something","ada keraguan atau tanda tanya pada masa depan seseorang atau kebiasaan seseorang","There's been a question mark over the Prime Minister's health since he cancelled his trip to China.","Sudah ada keraguan tentang kesehatan Perdana Menteri semenjak dia membatalkan perjalanannya ke China"
"91","a vicious circle","berada dalam siklus masalah yang tidak pernah berhenti","If I quit cigarettes I put on weight, and if I put on weight I get depressed, and if I get depressed I start smoking again. It's a vicious circle.","Jika aku berhenti rokok berat badanku bertambah, dan jika berat badanku bertambah aku mengalami depresi, dan jika aku mengalami depresi aku mulai merokok lagi. Ini `a vicious circle`."
"92","add fuel to the fire","menambah masalah","People are already unhappy, and if the government allows oil prices to increase it'll just be adding fuel to the fire.","Masyarakat sudah tidak sejahtera lagi, dan jika pemerintah menaikkan harga BBM maka hanya akan menambah masalah"
"93","an end in itself","melakukan sebuah kegiatan yang dilakukan untuk dirinya sendiri, bukan tujuan yang lain","People used to think education was an end in itself, but these days kids study in order to make lots of money when they graduate.","Jaman dahulu orang-orang bersekolah untuk menuntut ilmu demi kebaikan mereka juga, tapi anak-anak jaman sekarang bersekolah hanya untuk "
"94","if all else fails","kalau tidak berhasil/bisa juga","If all else fails, I can get there by train. It's never fully booked.","Kalau tidak bisa juga, aku bisa kesana pakai kereta. Kereta tidak pernah penuh."
"95","keep abreast of something","selaltu update tentang berita terbaru dan perkembangannya","No matter where I am in the world, I can read Karen's blog to keep abreast of activities in our club.","Tidak peduli di mana aku, aku bisa membaca blog Karen untuk mengikuti perkembangan kegiatan di klub kami."
"96","safe and sound","tidak ada yang dirugikan meskipun itu dalam bahaya","It was a dangerous journey but luckily we all got back safe and sound.","Itu perjalanan berbahaya tapi untungnya kita semua kembali aman dan sehat. "
"97","raining cats and dogs","hujan deras","We can't go now because it's raining cats and dogs.","Kita tidak bisa pergi sekarang karena hujan lebat sekali"
"98","like water off a duck's back","tidak membuatmu marah","I asked Amy if she got upset when journalists wrote negative things about her, and she said she didn't care what they wrote - it was like water off a duck's back.","Aku bertanya kepada Amy apakah dia marah ketika wartawan menulis hal-hal negatif tentang dia, dan dia bilang dia tidak peduli apa yang mereka tulis. Dia tidak marah."
"99","night owl","tukang begadang","She's always been a night owl. Even when she was a student she'd study late at night and get up as late as possible the next day.","Dia selalu begadang. Bahkan ketika dia masih mahasiswa ia belajar sampai larut malam dan telat bangun esok harinya"
"100","a queer fish","aneh dan suka berbuat yang tidak biasa","`Your great grandfather was a queer fish, Johnny. He used to write funny poems and then he'd read them aloud to everyone on the train on his way to work.`","`Kakek buyutmu aneh, Johnny. Dulu ia menulis puisi lucu dan kemudian dia akan membacanya keras-keras didepan semua orang di kereta dalam perjalanan pergi bekerja.`"
"101","a whale of a time","waktu yang menyenangkan dan benar-benar dapat dinikmati","I went to a karaoke club with my friends last night and we had a whale of a time. It was great!","Aku pergi ke sebuah klub karaoke dengan teman-teman ku tadi malam dan kami meikmati sekali. Itu sungguh luar biasa"
"102","wolf in sheep's clothing","serigala berbulu domba","The priest at our church seemed to be a very warm and caring man, but we later found out that he was a wolf in sheep's clothing.","Orang-orang di kota kami menduga bahwa Henry adalah serigala berbulu domba, tapi kurasa mereka salah."
"103","a zebra crossing","zebra cross/tanda putih bergaris-garis","Visitors to Britain are sometimes confused when they're told there's a zebra crossing up ahead. Some even expect to see a zebra walking across the road.","Pengunjung Inggris kadang-kadang bingung cross di depan. Beberapa orang bahkan berharap melihat zebra menyeberang jalan."
"104","can of worms","jika kamu terlibat kedalamnya akan menyebabkan masalah bagimu","Cathy never talks about her childhood. She says it's a can of worms she doesn't want to open, though I have no idea why.","Cathy tidak pernah berbicara tentang masa kecilnya. Dia bilang itu masalah yang dia tidak ingin ceritakan. Aku tidak tahu mengapa. "
"105","chickens are coming home to roost","mendapat ganjarannya","Fred's in hospital with liver problems. I guess the chickens have come home to roost after all those years of heavy drinking","Fred di rumah sakit karena ada masalah dengan hatinya. Aku rasa dia telah mendapatkan ganjarannya karena suka minum minuman keras selama bertahun-tahun"
"106","drinks like a fish","minum alkohol terlalu banyak","Some people might say I drink like a fish, but I don't think I drink too much.","Beberapa orang mungkin mengatakan aku minum alkohol terlalu banyak, tapi aku pikir aku minum tidak terlalu banyak."
"107","playing with fire","(bermain dengan api) terlibat ke dalam sesuatu berbahaya","Suzie says that if someone with mental or emotional problems smokes marijuana, they're playing with fire. She says it can make these problems much worse.","Suzie mengatakan bahwa jika seseorang mengalami masalah mental atau emosional merokok ganja, mereka bermain dengan api. Dia mengatakan itu dapat membuat masalah ini jauh lebih buruk."
"108","quick on the draw | quick on the trigger","cepat, ligat, tangkas dalam menyelesaikan suatu masalah","Some people think the coach is too quick on the draw when it comes to pulling players off the court when they make a mistake.","Beberapa orang berpikir pelatih terlalu cepat mengambil keputusan ketika mengeluarkan  pemain dari lapangan setelah mereka melakukan kesalahan."
"109","read between the lines","mengetahui bahwa ada sesuatu yang salah pada seseorang ketika orang itu menulis sesuatu","I got a letter from Robyn and she isn't happy. She didn't say anything but I could tell by reading between the lines that something's wrong.","Aku mendapat surat dari Robyn dan dia tidak senang. Dia tidak mengatakan apa-apa tapi aku tahu dengan membaca yang tersirat bahwa ada sesuatu yang salah."
