"22","Alice : Good morning, Bob<br><br>Bob  : Good morning, Alice<br><br>Alice : How's life?<br><br>Bob  : _____________. How are you?<br><b>Alice : I'm fine, thank you","Great, thank you","r2.mp3"," "," "," ","listening"
"23","Hi! I am Cindy<br><br>I am into designing<br><br>I create ads for ___________  company in New York","Advertising","r3.mp3"," "," "," ","listening"
"24","Hi there! <br><br>I am John Smith. I am 28.<br><br>I work as ____________.<br><br>Do you have any tap to fix?","A plumber","r4.mp3"," "," "," ","listening"
"25","John : Oh! I have another appointment. I have to go. <br><br>Allie : _____________ John. See you later<br><br>John : Yes . Goodbye Allie. It was pleasure talking to you. <br><br>Allie : Same here.","No problems","r5.mp3"," "," "," ","listening"
"26","John : Hey _________. Catch ya later Allie! <br><br>Allie : Sure John. See ya!","Gotta go","r6.mp3"," "," "," ","listening"
"27","A: Who is that? <br><br>B: She is ___________<br><br>A: What is her name? <br><br>B: Her name is Virginia","My girlfriend","r7.mp3"," "," "," ","listening"
"28","A: Excuse me. ______________?<br><br>B: It is on Main Street","Where is the restaurant","r8.mp3"," "," "," ","listening"
"29","A: Excuse me. ____________?<br><br>B: It is a quarter to five","Got the time","r9.mp3"," "," "," ","listening"
"30","A: Do you go to campus ______________?<br><br>B: No, I don't<br><br>A: How do you go to campus? <br><br>A: I go to campus by foot","Everyday by bus","r10.mp3"," "," "," ","listening"
"31","The business cards ______Â printed by a company in New York. Their prices ______Â inexpensive, yet the quality of their work is quite good.Â 
","A","are normally, are
","is normally, is
","is normally, are
","are normally, is
","tenses"
"32","This delicious chocolate ______Â made by a small chocolatier in Zurich, Switzerland
","B","are","is","was","were","tenses"
"33","Sid      : Where is Gary?<br><br>Sarah : He _______Â for his German test on Wednesday
","D","have been at the library studying
","was at the library studying
","will be at the library studying
","is at the library studying
","tenses"
"34","I  ______ home last night
","B","arrive
","arrived","was arriving","have arrived
","tenses"
"35","Michael :Â Do you think the Republicans or the Democrats ______Â the next election?Â <br><br>Jane      :Â I think the Republicans _______Â the next election.Â <br><br>John      :Â No way! The Democrats _______.
","A","will win, will win, will win
","will win, is going to win, will win
","is going to win, is going to win, is going to win
","is going to win, will win, is going to win
","tenses"
"36","Susan :Â We ______Â camping this weekend. Would you like to come along?<br><br>Sam    :Â That sounds great, but I don't have a sleeping bag.<br><br>Susan :Â No problem. I _____Â you one. My family has tons of camping gear
","C","will go, will lend
","are going to go, am going to  lend
","are going to go, will lend
","will go, are going to lend
","tenses"
"37","Last night, while I was doing my homework, Angela called. While we _______, I _______Â her professor yell, `Miss, are you making a phone call?`
","B","talked,Â heard
","were talking,Â heard
","have been talking,Â heard
","were talking, was hearing
","tenses"
"38","I ______ my application last week. It was total luck that he ______ to give me the apartment
","A","submitted, decided
","was submitting, decided
","have submitted, was deciding
","have submitted, had decided
","tenses"
"39","Tim: What is that sound? <br><br>Nancy: A car alarm _______Â somewhere down the street
","C","rings","rings","is ringing
","was ringing
","tenses"
"40","Mira       : Daniel, here is the hotel where we will stay tonight.<br><br>Daniel   : ________ <br><br>Mira       : I hope so
","A","I think I'll be happy to spend night here.
","It's dumb to think that I'll be happy to stay here tonight
","I don't think I'll have many reasons to ever be happy to spend night here
","I don't think I'll ever be truly happy to stay here tonight
","expression
"
"41","Mia   : _______?<br><br>Tuti   : No, thanks. I can bring this book by myself.
","B","Can you help me
","Can I help you 
","May I see your book
","You want to help me
","expression
"
"42","Ririe    : I think we had better carry on our programs tomorrow. <br><br>Ricky  : ________. Our programs will be successfully done tomorrow.
","C"," I go along with your idea
"," I agree with you
","It annoys me very much  
","That's good idea
","expression
"
"43","Latif       : _______ for breaking your guitar.<br><br>Bima     :  It's O.K. I know that you didn't mean to do that.
","D","I'm pleased
","I don't mean
","I'm satisfied
","I'm sorry
","expression
"
"44","Father  : _______, my son. You've won the English speech competition. <br><br>Son       : Thanks, dad.
","A","I'm proud of you
","That's terrible
","I can't believe you've made many mistake
","I know your feeling. But don't give up
","expression
"
"45","Alfian  : I'm very fond of dancing â€œPoco-pocoâ€.<br><br>Agus    : Really? I can't believe it. <br><br>From the dialogue we know that Alfian _______ dancing â€œPoco-pocoâ€.
","B","cares","likes","hates","denies","expression
"
"46","Dany       : My sister got an accident last night.<br><br>Shasha  : ______.<br><br>Dany       : Oh, it's no problem
","C","I'm glad to hear that
","That's terrible
","I'm sorry to hear that
","I'm satisfied
","expression
"
"47","Diana     : The stupid student got 90 in English Quiz.<br><br>Ryani     : Really? ______
","D","Oh, it's makes me mad
","How shameful
","It's painful
"," I can't believe it
","expression
"
"48","A : Do you have a test today ?<br><br>B : Yes, I do.<br><br>A : ______
","D","Good job!
","Enjoy your day!
","Enjoy your test!
","Good luck!
","expression
"
"49","Alis            : Mrs. Rodway is very angry because I always come late.<br><br>Andi          : __________.
","C","You should pray anytime , dear
","Never care of her. Take it easy, dear
","I think you had better change your bad habit
","You should avoid her to make you safe
","expression
"
"50","ArioÂ Â Â Â : ______ ! The animal looks like a small horse with dark stripes on a yellowish body. What is that, Dad ?<br><br>Father : Oh. That is a zebra
","B","Look at me
","Look over there
","Look at this
","Look at you
","expression
"
"51","FatherÂ Â : Andri, you'd better mow the grass first before you paint the fence.<br><br>AndriÂ Â  : _____?<br><br>FatherÂ Â : I'm afraid not. The smoke may make our neighbours feel annoyed.
","A","May I burn the rubbish
","May I gather the rubbish
","May I smoke while working
","May I sweep the yard afterward
","expression
"
"52","that's terrible
"," "," "," "," "," ","speaking"
"53","thank You"," "," "," "," "," ","speaking"
"54","it's all right"," "," "," "," "," ","speaking"
"55","I'm sorry"," "," "," "," "," ","speaking"
"56","I am watching"," "," "," "," "," ","speaking"
"57","good morning"," "," "," "," "," ","speaking"
"58","A  : What ______  when the accident occurred? <br><br>B  : I ______ to change a light bulb that had burnt out.
","C","Did you do, was trying
","were you doing, had tried
","were you doing, was trying
","were you doing, am trying
","tenses"
"59","Dewi  : What was your sister doing when you arrived home last night?<br><br>Tono  : She ________ in the kitchen
","D","cooked","had cooked
","had been cooking
","was cooking
","tenses"
"60","The engine ______ smoothly when it suddenly stopped
","B","ran","was running
","had run
","had been running
","tenses"
"61","Joko  : Hi, Anto. How are you ? <br><br>Anto  : Fine, thanks. How about you ? <br><br>Joko  : Great ! That's a nice shirt you are wearing. <br><br>Anto  : Thanks. I ____ it in Bali. <br><br>Joko  : When did you go there ? <br><br>Anto  : Last week during the weekend
","C","buy","buyed","bought
","have bought
","tenses"
"62","always"," "," "," "," "," ","speaking"
"63","arranges"," "," "," "," "," ","speaking"
"64","disappointed"," "," "," "," "," ","speaking"
"65","see you tomorrow"," "," "," "," "," ","speaking"
"66","I'd like to introduce myself"," "," "," "," "," ","speaking"
"67","where are you from"," "," "," "," "," ","speaking"
"68","great job"," "," "," "," "," ","speaking"
"69","already"," "," "," "," "," ","speaking"
"70","The secretary ______  the mail every morning
","C","open","have opened","opens","is opening","tenses"
"71","A   :  ________?<br><br>B   :  Fine, thanks. And you? <br><br>A   :  I'm fine too, thanks
","How are you
","r11.mp3"," "," "," ","listening"
"72","Mrs. Long   :  Good night, Mr. Forbiz<br><br>Mr. Forbiz  :  Good night, Mrs Long<br><br>Mrs. Long   : ________<br><br>Mr. Forbiz  :  See you
","See you at the seminar tomorrow
","r12.mp3"," "," "," ","listening"
"73","Blair   :  _______?<br><br>Sinta  :  I am from Indonesia
","Where are you from
","r13.mp3"," "," "," ","listening"
"74","Eva    :  _______. I am Eva<br><br>Adi    :  Pleased to meet you<br><br>Eva    :  Pleased to meet you, too
","I'd like to introduce myself
","r14.mp3"," "," "," ","listening"
"75","My name is Linda and I am from Ohio. <br><br>I am a student. I am 24 years old. <br><br>________ because I have to study all day
","I have no hobbies
","r15.mp3"," "," "," ","listening"
"76","A   :   ________?<br><br>B   : It is on Cental Street
","Where is the hospital
","r16.mp3"," "," "," ","listening"
"77","A   :   Excuse me. _______?<br><br>B   :   It is six o'clock precisely
","What time is it now
","r17.mp3"," "," "," ","listening"
"78","A   : ___________?<br><br>B   : The bank always opens at 8 a.m<br><br>A   : What time does it usually close?<br><br>B  : It closes at 4 p.m","What time does the bank open
","r18.mp3"," "," "," ","listening"
"79","A   : Is the airport near here?<br><br>B   : Yes, it is.<br><br>A   : Can we go there by bus?<br><br>B   : No. I'm afraid we can't.<br><br>A   : How do we go to the airport?<br><br>B   : We can go there by taxi<br><br>A   : Okay. _________
","Let's get a taxi
","r19.mp3"," "," "," ","listening"
"80","A   :   _______?<br><br>B   : It is the tenth of October.<br><br>A   : And what date is the meeting?<br><br>B   : It is on the fifteenth of October
","What date is it today
","r20.mp3"," "," "," ","listening"
"81","Noni  : You have caused pollution around our neighbourhood by burning the garbage.<br><br>TiniÂ Â  : Oh, ______
","D","excuse me
","take it easy
","be patient please
","I am really sorry
","expression"
"82","A   :   _________?<br><br>B   : The dictionary is fifty bucks
","How much is the dictionary
","r21.mp3"," "," "," ","listening"
"83","Nadia           : Excuse me, Mr. Black. ________ your pen?<br><br>Mr. Black   : No. I'm afraid I can't. I'm using it<br><br>Nadia           : All right. Thank you anyway","Could you lend me","r22.mp3"," "," "," ","listening"
"84","A   :   _______?<br><br>B   : Yes. of course
","Could you lower it
","r23.mp3"," "," "," ","listening"
"85","A   :   _______?<br><br>B   : Yes, I do.<br><br>A   : What are their names?<br><br>B   : Their names are Eric and Bob
","Do you have any brothers
","r24.mp3"," "," "," ","listening"
"86","A   :   _________?<br><br>B   : Yes, certainly.<br><br>A   : And may I smoke here?<br><br>B   : No. I'm afraid you may not. But you may smoke outside<br><br>A   : Ok. Thanks
","May I sit here
","r25.mp3"," "," "," ","listening"
"87","ReceptionistÂ Â : Your room is number 126 and here is the key. Porter, help him please.<br><br>PorterÂ Â Â Â Â Â Â Â Â Â  : _____?<br><br>Mr. LukmanÂ  : No thanks, I can do it myself.<br><br>The following can be used ro complete the dialogue above, except:
","C","Do you need my help
","Is there anything I can do for you
","Could you please take my suitcase
","Would you like me to lake your case
","expression"
"88","Bastion  : Our team is going to the eastern part of the district to inform the people about transmigration and family planning. _____? <br><br>Winono : No, maybe not. I'd better finish my report of our visit to the remote villages.
","
B","What's your decision","How about going with us
","How do you feel about it
","Do you have any objection
","expression
"
"89","BudiÂ Â Â Â :Â Â _____?<br><br>LucyÂ Â  : Yes, could you please get me some articles on economics from this newspaper ? I'd like to make a bundle of some newspaper clippings.<br><br>BudiÂ Â Â Â : Yes, I'd be glad to.
","A","Do you need some help, Lucy
","Have you got some morning papers
","Do you know the current economic station
","Do you write some articles in this newspaper
","expression
"
"90","TinaÂ Â Â Â  : Do you think that we can depend on fossil fuels as energy sources for the next century ? WulanÂ Â : ______. They will soon run out. Scientists are experimenting in changing the abundant sunlight into energy.
","C","It's absolutely unproductive
","It certainly does not work
","It's just unreasonable
","It's highly unlikely
","expression
"
"91","Andika : What will Mr. Hilman do next holiday ?<br><br>DindaÂ Â  : Mr. Hilman ______ to Pangandaran Beach
","A","will go
","will be going
","will have gone
","is going to go
","tenses"
"92","Oh, dear! I forgot to bring my dictionary.'<br><br>That's all right. I ______ you mine.'
","D","am lending
","am going to lend
","will be lending
","will lend
","tenses"
"93","Acah : When will your sister finish her study?<br><br>Anto : I hope she _______ by July next year
","C","will have graduated
","has garduated
","will graduate
","is going to graduate
","tenses"
"94","Amy : Do you have any plans for the coming holiday ? <br><br>Ady : Yes, I _______ to Bromo Mountain
","A","am going to go
","will be going
","will have gone
","will go","tenses"
"95","JonoÂ Â : What time will we start the journey ? <br><br>Andri : Come at six or ______ you
","B","we won't leave
","we'll leave
","we will have left
","we will be leaving
","tenses"
"96","currently"," "," "," "," "," ","speaking"
"97","driven"," "," "," "," "," ","speaking"
"98","through"," "," "," "," "," ","speaking"
"99","good afternoon"," "," "," "," "," ","speaking"
"100","don't mention it"," "," "," "," "," ","speaking"
"101","Ayu : Good morning.<br><br>Andi : Good morning.<br><br>Ayu : Do you know when the class meeting starts?<br><br>Andi : It starts at 9 a.m. today.<br><br>Ayu : I see. ________. Andi : You're welcome.","A","Thanks for telling","Thanks for your help","See you later","Sure.","expression"
"102","Virga : How are you, Den?<br><br>Denias : I'm fine.<br><br>Virga : Well, ________<br><br>Denias : Really? How do I look?<br><br>Virga : You look great<br><br>Denias : Thanks. You do too","B","How do you do?","You look different today","You look so sad","How was your journey?","expression"
"103","Retno : I think we need to discuss our plan for the next month<br><br>Arnys : You're right.<br><br>Retno : What if we meet at the canteen this afternoon?<br><br>Arnys : Sure.<br><br>Retno : So, ________<br><br>Arnys : See you.","C","See you tomorrow","Good bye","See you later","See you next week","expression"
"104","Andi : Anyway, it's been nice talking to you. But, ________.<br><br>Denias : Well, we still have a lot of things to do this evening. But, It's okay, I'll call you tonight.<br><br>Andi : That's be great. You have to tell me more about your holiday.","D","I can't stand here along with you","It is really a terrible place","I really hate this very much","I'm afraid I must go now","expression"
"105","Ayu : Excuse me, is this your agenda book?<br><br>Retno : Oh, yes, thanks you. I didn't realize that I left it.<br><br>Ayu : _________.","A","Don't mention it","You're welcome","Not at all","It was nothing. I enjoyed helping you","expression"
"106","Andi : Den, do you know klepon ?<br><br>Denias : No, I donâ€™t. Whatâ€™s that ?<br><br>Andi : Itâ€™s a kind of dessert made of flours with brown sugar inside. It is sprinkled with shred coconut. The shape of klepon is like ball. __________ . My mother made klepon this afternoon.<br><br>Denias : Thank you, I'd like.","B","Would you like to make it?","Would you like to try it?","Wonâ€™t you have more klepon?","Would you like some?","expression"
"107","Andi : My mother made klepon this afternoon. Would you like some?<br><br>Denias : Thank you. I'd like.<br><br>Andi : Well, Iâ€™ll get some for you.<br><br>Denias : Okay.<br><br>Andi : ________. Just try it.<br><br>Denias : Hmm â€¦, itâ€™s delicious. Your mum is a good cook.","C","You're on","Wait a minute","Here you are","My pleasure","expression"
"108","I'm still working on it",,,,,,"speaking"
"109","sing",,,,,,"speaking"
"110","decide",,,,,,"speaking"
"111","decided",,,,,,"speaking"
"112","driven",,,,,,"speaking"
"113","drive",,,,,,"speaking"
"114","singing",,,,,,"speaking"
"115","was singing",,,,,,"speaking"
"116","is driving",,,,,,"speaking"
"117","come on",,,,,,"speaking"
"118","good afternoon",,,,,,"speaking"
"119","good evening",,,,,,"speaking"
"120","cooked",,,,,,"speaking"
"121","will have finished",,,,,,"speaking"
"122","will finish",,,,,,"speaking"
"123","has been cooking",,,,,,"speaking"
"124","had been waiting",,,,,,"speaking"
"125","had waited",,,,,,"speaking"
"126","study tour",,,,,,"speaking"
"127","weekend",,,,,,"speaking"
"128","tired",,,,,,"speaking"
"129","tie",,,,,,"speaking"
"130","accept",,,,,,"speaking"
"131","accepted",,,,,,"speaking"
"132","I am sick of rain",,,,,,"speaking"
"133","hopefully",,,,,,"speaking"
"134","freaking out",,,,,,"speaking"
"135","howling",,,,,,"speaking"
"136",,,,,,,"tenses"
"137",,,,,,,"expression"
